label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,609,611,12,201.174561,2.434,0.853818,,O18-label-1,Laurate,Laurate,C12H24O2,0.166387,0.151697,199.170334,282812.66,221943.36,207738.88,345838.59,208792.7,236310.83,153203.06,236760.95,81685.54,138145.22,110861.13,76038.06,4413.6,1832.86
,607,607,12,199.969254,10.61,0.827067,[M-H]-,C12 PARENT,Cysteine S-sulfate,Cysteine S-sulfate,C3H7NO5S2,0.80981,0.152611,199.969254,136597.8,181354.39,154276.69,124582.85,168679.12,165208.23,247088.08,155943,173379.55,192052.58,101721.25,173345.08,498.05,164.86
,607,649,10,201.973557,10.617,0.847107,,O18-label-1,Cysteine S-sulfate,Cysteine S-sulfate,C3H7NO5S2,0.816987,0.075548,199.969254,6752.53,9797.92,5468.68,5508.73,6250.77,6659.12,8815.11,4235.47,5318.69,6543.32,2150.88,4998.34,0,0
,603,603,11,200.129181,4.282,0.839075,[M-H]-,C12 PARENT,N-Octanoylglycine,N-Octanoylglycine,C10H19NO3,0.077207,0.152489,200.129181,1985053.88,1808310,1513912,1074257.12,1084048.5,1241619.12,2028330,1936110.88,1007249,1060246.12,535246.31,1414051.88,15742.12,25442.22
,603,650,8,201.135452,4.281,0.846911,,D2-label-1,N-Octanoylglycine,N-Octanoylglycine,C10H19NO3,0.075631,0.22759,200.129181,67943.38,69884.99,62163.81,38359.07,35826.32,39213.76,78362.16,83914.47,31634.9,36177.18,20529.35,33257.72,0,0
,603,651,4,202.133438,4.279,0.834811,,O18-label-1,N-Octanoylglycine,N-Octanoylglycine,C10H19NO3,0.074111,0.075489,200.129181,67046.03,58062.27,49047.07,31515.48,34114.39,48800.37,43827.81,53416.16,18561.82,21929.01,12152.73,22979.46,0,0
,213,213,12,223.170258,2.366,0.82235,[M-H]-,C12 PARENT,C14:2,C14:2,C14H24O2,0.17255,0.410237,223.170258,12619397,11282696,8736311,16028765,10744209,10843685,7955099.5,8373678.5,3734720.75,7477814.5,6582692.5,4789122.5,1453.74,1581.96
,213,659,11,224.176895,2.399,0.806203,,D2-label-1,C14:2,C14:2,C14H24O2,0.140469,1.157121,223.170258,442690.47,355405,249702.86,209873.44,144045.48,214522.38,335145.25,283106.09,87486.32,91004.29,74129.55,88056.63,0,0
,213,658,11,225.183624,2.407,0.851797,,D2-label-2,C14:2,C14:2,C14H24O2,0.132102,3.184803,223.170258,243658.02,91043.54,271979.84,159286.27,173256.48,160892.92,83829.06,129878.78,58658.34,108795.02,120676.56,149529.11,1040.89,0
,213,214,12,226.189285,2.358,0.826853,,D2-label-3,C14:2,C14:2,C14H24O2,0.181321,0.472222,223.170258,5083124.5,3320372.25,6212500.5,7280161.5,5214264.5,5700145.5,2815212.75,3770053,2946508.75,3867574.25,4232392.5,3622142.25,3315.33,4529.84
